Group,Sex,Time,Weight,GR
IR,M,-2.683168317,350,8.333333333
IR,M,-2.683168317,374,8.904761905
IR,M,-2.683168317,358,8.523809524
IR,F,-2.683168317,314,7.476190476
IR,F,-2.683168317,374,8.904761905
IR,F,-2.683168317,365,8.69047619
IR,F,-2.683168317,400,9.523809524
IR,F,-2.683168317,369,8.785714286
IR,F,-2.683168317,374,8.904761905
IR,F,-2.683168317,437,10.4047619
IR,F,-2.683168317,366,8.714285714
IR,F,-2.683168317,336,8
IR,F,-2.683168317,355,8.452380952
IR,F,-2.683168317,405,9.642857143
IR,F,-2.683168317,388,9.238095238
IR,F,-2.683168317,343,8.166666667
IR,F,-2.683168317,358,8.523809524
IR,M,-1.683168317,335,7.790697674
IR,M,-1.683168317,297,6.906976744
IR,M,-1.683168317,341,7.930232558
IR,M,-1.683168317,347,8.069767442
IR,M,-1.683168317,325,7.558139535
IR,M,-1.683168317,327,7.604651163
IR,M,-1.683168317,288,6.697674419
IR,M,-1.683168317,309,7.186046512
IR,M,-1.683168317,341,7.930232558
IR,M,-1.683168317,311,7.23255814
IR,M,-1.683168317,345,8.023255814
IR,M,-1.683168317,368,8.558139535
IR,M,-1.683168317,387,9
IR,F,-1.683168317,366,8.511627907
IR,F,-1.683168317,369,8.581395349
IR,M,-0.683168317,380,8.636363636
IR,M,-0.683168317,366,8.318181818
IR,M,-0.683168317,348,7.909090909
IR,M,-0.683168317,338,7.681818182
IR,M,-0.683168317,358,8.136363636
IR,M,-0.683168317,345,7.840909091
IR,M,-0.683168317,332,7.545454545
IR,M,-0.683168317,404,9.181818182
IR,M,-0.683168317,311,7.068181818
IR,M,-0.683168317,333,7.568181818
IR,M,0.316831683,37,0.822222222
IR,M,0.316831683,407,9.044444444
IR,F,0.316831683,511,11.35555556
IR,M,1.316831683,381,8.282608696
IR,F,1.316831683,447,9.717391304
IR,F,1.316831683,584,12.69565217
IR,F,1.316831683,513,11.15217391
IR,F,1.316831683,509,11.06521739
IR,M,2.316831683,431,9.170212766
IR,M,2.316831683,442,9.404255319
IR,F,2.316831683,586,12.46808511
IR,F,2.316831683,533,11.34042553
IR,F,2.316831683,525,11.17021277
IR,M,3.316831683,497,10.35416667
IR,M,3.316831683,437,9.104166667
IR,M,3.316831683,512,10.66666667
IR,M,3.316831683,441,9.1875
IR,M,3.316831683,481,10.02083333
IR,M,3.316831683,441,9.1875
IR,M,3.316831683,520,10.83333333
IR,M,4.316831683,423,8.632653061
IR,M,4.316831683,536,10.93877551
IR,M,6.316831683,421,8.254901961
IR,F,-3.307692308,456,11.69230769
IR,F,-3.307692308,427,10.94871795
IR,F,-3.307692308,379,9.717948718
IR,F,-2.307692308,354,8.85
IR,F,-2.307692308,408,10.2
IR,F,-2.307692308,446,11.15
IR,F,-2.307692308,416,10.4
IR,F,-2.307692308,424,10.6
IR,F,-2.307692308,437,10.925
IR,F,-2.307692308,412,10.3
IR,F,-2.307692308,391,9.775
IR,F,-2.307692308,435,10.875
IR,F,-2.307692308,443,11.075
IR,F,-2.307692308,378,9.45
IR,F,-2.307692308,366,9.15
IR,F,-1.307692308,386,9.414634146
IR,F,-1.307692308,349,8.512195122
IR,F,-1.307692308,351,8.56097561
IR,F,-1.307692308,353,8.609756098
IR,F,-1.307692308,370,9.024390244
IR,F,-1.307692308,356,8.682926829
IR,F,-1.307692308,359,8.756097561
IR,F,-1.307692308,464,11.31707317
IR,F,-1.307692308,395,9.634146341
IR,F,-1.307692308,439,10.70731707
IR,F,-1.307692308,467,11.3902439
IR,F,-1.307692308,351,8.56097561
IR,F,-1.307692308,474,11.56097561
IR,F,-1.307692308,445,10.85365854
IR,F,-1.307692308,440,10.73170732
IR,F,-1.307692308,451,11
IR,F,-1.307692308,388,9.463414634
IR,F,-1.307692308,434,10.58536585
IR,F,-1.307692308,428,10.43902439
IR,F,-1.307692308,417,10.17073171
IR,F,-1.307692308,462,11.26829268
IR,F,-1.307692308,460,11.2195122
